id_transaksi,id_customer,id_kategori,tgl_transaksi,total_pembayaran,metode_pembayaran
T001,1095,T6,2024-05-01,550000,Kartu Kredit
T002,1077,T2,2024-05-02,320000,Transfer Bank
T003,1063,T8,2024-05-03,480000,Kartu Debit
T004,1051,T5,2024-05-04,600000,Transfer Bank
T005,1045,T3,2024-05-05,420000,Kartu Kredit
T006,1024,T1,2024-05-06,280000,Transfer Bank
T007,1099,T7,2024-05-07,620000,Kartu Kredit
T008,1013,T4,2024-05-08,510000,Transfer Bank
T009,1032,T6,2024-05-09,750000,Kartu Kredit
T010,1071,T2,2024-05-10,370000,Transfer Bank
T011,1046,T8,2024-05-11,780000,Kartu Debit
T012,1065,T5,2024-05-12,530000,Transfer Bank
T013,1025,T3,2024-05-13,690000,Kartu Kredit
T014,1090,T1,2024-05-14,620000,Transfer Bank
T015,1082,T7,2024-05-15,430000,Kartu Kredit
T016,1060,T4,2024-05-16,820000,Transfer Bank
T017,1005,T6,2024-05-17,590000,Kartu Debit
T018,1039,T2,2024-05-18,710000,Transfer Bank
T019,1075,T8,2024-05-19,480000,Kartu Kredit
T020,1047,T5,2024-05-20,770000,Transfer Bank
T021,1018,T3,2024-05-21,390000,Kartu Kredit
T022,1089,T1,2024-05-22,860000,Transfer Bank
T023,1097,T7,2024-05-23,620000,Kartu Kredit
T024,1021,T4,2024-05-24,490000,Transfer Bank
T025,1073,T6,2024-05-25,530000,Kartu Debit
T026,1067,T2,2024-05-26,610000,Transfer Bank
T027,1052,T8,2024-05-27,710000,Kartu Kredit
T028,1009,T5,2024-05-28,580000,Transfer Bank
T029,1041,T3,2024-05-29,490000,Kartu Kredit
T030,1016,T1,2024-05-30,420000,Transfer Bank
T031,1093,T7,2024-05-31,660000,Kartu Kredit
T032,1038,T4,2024-06-01,570000,Transfer Bank
T033,1078,T6,2024-06-02,510000,Kartu Kredit
T034,1057,T2,2024-06-03,640000,Transfer Bank
T035,1069,T8,2024-06-04,730000,Kartu Kredit
T036,1029,T5,2024-06-05,550000,Transfer Bank
T037,1043,T3,2024-06-06,420000,Kartu Kredit
T038,1014,T1,2024-06-07,680000,Transfer Bank
T039,1084,T7,2024-06-08,590000,Kartu Kredit
T040,1091,T4,2024-06-09,470000,Transfer Bank
T041,1036,T6,2024-06-10,630000,Kartu Kredit
T042,1061,T2,2024-06-11,520000,Transfer Bank
T043,1050,T8,2024-06-12,750000,Kartu Kredit
T044,1011,T5,2024-06-13,590000,Transfer Bank
T045,1044,T3,2024-06-14,480000,Kartu Kredit
T046,1026,T1,2024-06-15,720000,Transfer Bank
T047,1094,T7,2024-06-16,550000,Kartu Kredit
T048,1074,T4,2024-06-17,690000,Transfer Bank
T049,1088,T6,2024-06-18,630000,Kartu Kredit
T050,1007,T2,2024-06-19,560000,Transfer Bank
